Rank,wBW,wEG,wH,wD,wDays
216,8.10E-07,0.001286358,8.12E-07,4.30E-05,8.10E-07
217,7.69E-07,0.001273494,7.72E-07,4.17E-05,7.69E-07
218,7.31E-07,0.001260759,7.33E-07,4.05E-05,7.31E-07
219,6.94E-07,0.001248152,6.97E-07,3.92E-05,6.94E-07
220,6.60E-07,0.00123567,6.62E-07,3.81E-05,6.60E-07
221,6.27E-07,0.001223313,6.29E-07,3.69E-05,6.27E-07
222,5.95E-07,0.00121108,5.97E-07,3.58E-05,5.95E-07
223,5.65E-07,0.001198969,5.67E-07,3.47E-05,5.65E-07
224,5.37E-07,0.00118698,5.39E-07,3.37E-05,5.37E-07
225,5.10E-07,0.00117511,5.12E-07,3.27E-05,5.10E-07
